sheet,row,id,indicator,score,evidence,source,notes
P1 Strategy & Vision,5,S1.1,National AI strategy existence,3.0,"SNIA was formally adopted on July 7 2025, and unveiled at CONIA 2025 by Minister of Posts and Telecommunications Minette Libom Li Likeng",1-https://oecd.ai/en/dashboards/policy-initiatives/cameroons-national-artificial-intelligence-strategy-snia  2-       ,"Adopted but implementing institutions (AI Authority, Presidential Council) still being established"
P1 Strategy & Vision,6,S1.2,Strategy adoption date,3.0,July 2025 ,https://techafricanews.com/2025/07/08/cameroon-unveils-2040-ai-roadmap-anchored-on-seven-strategic-pillars/,at CONIA 2025 closing
P1 Strategy & Vision,7,S1.3,Political commitment signals,3.0,Ministerial launch by Minister of Posts & Telecom; CONIA 2025 convened 400+ stakeholders; IMF AI Preparedness score 0.34/1 cited as motivation,https://www.cameroononline.org/cameroon-unveils-seven-pillar-ai-strategy-to-become-africas-leading-hub-by-2040/,Presidential-level decree not yet confirmed; ministerial statements are formal institutional actions
P1 Strategy & Vision,8,S1.4,Dedicated AI budget allocation,1.0,World Bank-funded PATNUC supports agritech innovation (up to CFA40M per startup); no confirmed ring-fenced national AI budget line,https://www.businessincameroon.com/agriculture/0503-15856-cameroon-launches-second-agritech-innovation-challenge,AI investment largely embedded within ICT/telecom ministry budget
P1 Strategy & Vision,9,S1.5,AU Continental AI Strategy alignment,,,,
P1 Strategy & Vision,10,S1.6,Multi-stakeholder consultation,,,,
P1 Strategy & Vision,11,S1.7,Sector prioritisation,,,,
P1 Strategy & Vision,12,S1.8,Implementation roadmap,,,,
P1 Strategy & Vision,13,S1.9,Monitoring and evaluation framework,,,,
P1 Strategy & Vision,14,S1.10,Strategy review mechanism,,,,
P2 Governance & Regulation,5,G2.1,AI-specific legislation,1.0,No AI-specific law enacted; SNIA calls for a framework AI law; cybersecurity law (Law No. 2010/012) exists,https://www.researchgate.net/publication/401213115_Strategic_Introduction_of_Artificial_Intelligence_In_Cameroon_Public_Administration,AI legislation flagged as next step under SNIA governance pillar; under discussion stage
P2 Governance & Regulation,6,G2.2,Data protection law status,3.0,Law No. 2024/017 of 23 December 2024 enacted; 18-month compliance transition ending June 2026; 38th African country,https://pollicy.medium.com/key-features-of-law-2024-017-on-personal-data-protection-in-cameroon-5ee06f79dd1a,Law enacted; ADCP supervisory authority mandated but not yet confirmed as fully staffed
P2 Governance & Regulation,7,G2.3,DPA AI mandate,2.0,Law 2024/017 establishes ADCP with mandate to regulate data processing including automated decisions,https://www.africanlawbusiness.com/expert-views/key-features-of-cameroons-new-data-protection-law/,DPA structurally exists; AI-specific mandate not explicit; ANTIC retains ICT/cybersecurity oversight
P2 Governance & Regulation,8,G2.4,DPA staffing and budget,0.0,ADCP not yet publicly confirmed as operationally staffed; no published budget data,Gap — ADCP not yet fully operational,18-month transition still active; critical capacity gap
P2 Governance & Regulation,9,G2.5,AI regulatory body existence,,,,
P2 Governance & Regulation,10,G2.6,Institutional design model,,,,
P2 Governance & Regulation,11,G2.7,Malabo Convention ratification,,,,
P2 Governance & Regulation,12,G2.8,Enforcement actions taken,,,,
P2 Governance & Regulation,13,G2.9,Extraterritorial provisions,,,,
P2 Governance & Regulation,14,G2.10,IP framework for AI,,,,
P3 Infrastructure & Data,5,I3.1,Data center count,,,,
P3 Infrastructure & Data,6,I3.2,Data center capacity (MW),,,,
P3 Infrastructure & Data,7,I3.3,Submarine cable landing points,,,,
P3 Infrastructure & Data,8,I3.4,International bandwidth (Gbps),,,,
P3 Infrastructure & Data,9,I3.5,Hyperscaler presence,,,,
P3 Infrastructure & Data,10,I3.6,GPU/HPC access,,,,
